order,plot_id,plot_title,question_answered,required_inputs,pass_condition,red_flag,interpretation_if_red
0,DATA-CONTRACT-001,Frame-length and reshape audit,Are waveform vectors decoded into the physically correct channel/sample frame?,raw vector length; header sample count; channel count,One stable vector length and exact agreement with header and configured shape,Multiple lengths or configured shape differs from header,Stop: all downstream channel waveforms may be desynchronised
1,PROVENANCE-001,Input and calibration provenance,Are immutable input hashes and every calibration/map status recorded?,file hashes; config blob hashes; status fields,All inputs source-bound and no consumed object is retracted,Missing hash or RETRACTED status,Stop: no physical timing claim is authorized
2,WAVEFORM-001,Raw waveform overlays by channel,Do B2/B4/B6/B8 show real pulse morphology rather than pedestal boundaries?,random raw waveforms per channel,Localized pulse with stable polarity and plausible leading edge,Step at a fixed channel-boundary sample or quiet pedestal channel,The timed object is likely a decode/pedestal artifact
3,BASELINE-001,Baseline mean RMS and slope,Is the pretrigger baseline uncontaminated and stable?,pretrigger samples per event and channel,Centered residuals; stationary RMS; negligible slope,Multimodal baseline; drift; pulse in baseline window,Baseline subtraction biases amplitude and crossing time
4,PULSE-ID-001,Global peak versus selected component,Is the component used for timing the same component that passes the amplitude cut?,global and selected peak index/amplitude,Selected/global amplitude near one or independently validated component identity,Tiny early component selected while later global peak passes cut,Artificially repeatable early crossings can create a narrow core
5,PEAKMAP-001,Amplitude versus peak sample,Are accepted pulses inside the acquisition window with one physical timing mode?,amplitude and peak index per stave,Single in-window mode away from boundaries,Boundary peaks or multimodal/discrete bands,Trigger-phase or truncation dominates timing
6,CFD-EXAMPLE-001,Event-level CFD crossing examples,Does interpolation use the intended rising edge with adequate slope?,waveform; threshold; bracketing samples; selected peak,One bracket before selected peak and positive stable slope,Crossing at sample 0; flat denominator; wrong pulse; threshold recrossing,Timestamp is undefined or component-ambiguous
7,CUTFLOW-001,Event-level cut flow,Where are events lost and are rows distinguished from physical events?,unique event keys and selection masks,Counts are unique events and every rejection has a named reason,Waveform rows called events; hidden pair-lock loss,Quoted statistical precision and efficiency are wrong
8,TIME-001,Per-stave timestamp distributions,Do timestamps occupy physically plausible windows without boundary piles?,accepted t_i by stave,Interior continuous distribution with stable modes,Spikes at window edges or integer sample locations,Timing estimator is quantized/truncated or component-switching
9,PAIR-CORR-001,t_i versus t_j and sample-index map,Is the narrow residual caused by genuine correlated arrival times or a common artifact?,paired timestamps and peak/crossing indices,Diagonal physical correlation that persists across run/amplitude strata,Fixed sample-offset lattice or pedestal-step correlation,Common-mode decode/phase structure is cancelling in the difference
10,STAGE-001,Residual after every correction,Which operation changes the median and which changes the width?,raw difference; TOF; offset; timewalk; phase corrections,Constant TOF/offset changes only location; trained corrections improve held-out width,A constant shift changes width or same events are not preserved,Bookkeeping/event selection changed between stages
11,SHAPE-001,Residual histogram linear and log scale,Is one width sufficient to describe the distribution?,full residual vector,Core width RMS and tail fractions jointly reported,RMS much larger than sigma68 or visible secondary modes,Do not call a narrow core detector resolution
12,FIT-001,Fit pulls QQ and chi2/ndf,Is the Gaussian model statistically adequate?,fit model; bin counts; residuals,Reasonable pulls and chi2/ndf order one,chi2/ndf much greater than one or tail QQ departure,Gaussian sigma is a descriptive core parameter only
13,TIMEWALK-001,Residual versus A_i A_j and amplitude ratio,Does residual depend on signal size and is correction held out?,amplitudes and residuals by train/test run,Slope consistent with zero on held-out runs after correction,Residual trend or correction trained/evaluated on same events,Quoted resolution contains timewalk or selection overfitting
14,SLOPE-001,Residual versus crossing slope and baseline noise,Does observed precision follow jitter approximately noise/slope?,crossing slope; baseline RMS; residual,A smooth physically plausible improvement with slope,Ultra-narrow band independent of SNR/slope,Timestamp may be driven by a deterministic digital artifact
15,PHASE-001,Residual versus sub-sample phase and peak-sample pair,Is interpolation calibrated across the whole sampling cell?,fractional crossing phase; sample indices,No phase-dependent bias/width after calibration,Sawtooth bias or narrow result confined to one phase bin,Sub-sample interpolation is not globally calibrated
16,STABILITY-001,Run/block/stave stability,Is the headline stable across independent data blocks?,run and event block IDs,Compatible medians and widths with block-bootstrap intervals,One run/block dominates or large drifts,Headline is not portable and IID bootstrap undercovers
17,FRACTION-001,CFD fraction scan with held-out selection,Was the fraction chosen without test-set optimization?,train/validation/test run split,Choose on training/validation then quote untouched test result,Minimum chosen and reported on same events,Look-elsewhere/overfitting bias narrows the result
18,PAIR-MATRIX-001,All-pair residual matrix,Is there enough independent information to solve stave terms?,three or more connected staves or external reference,Every pair measured with compatible selection and covariance diagnostics,Only one pair or disconnected graph,Individual stave resolutions are underdetermined
19,DECONV-001,Variance/covariance deconvolution and closure,Does the inferred stave model reproduce every pair and injected truth?,pair variances; covariance model; MC/injection truth,Non-negative solution; held-out pair closure; recovered injected parameters,Negative variances; poor closure; strong model sensitivity,Report pair residuals only; withhold intrinsic stave resolution
20,SYSTEMATICS-001,Resolution systematic budget,How much does the result move under justified analysis variations?,baseline window; cuts; fraction; component selector; TOF; run split,All variations and correlations propagated to final interval,Only statistical bootstrap or undocumented tuning,Uncertainty is incomplete and performance is overstated
